2a02:26f7:e500:5812::/64,BR,BR-BA,Madre-de-Deus,
2a02:26f7:e500:5813::/64,BR,BR-BA,Paulo Afonso,
2a02:26f7:e500:5814::/64,BR,BR-BA,Porto Seguro,
2a02:26f7:e500:5815::/64,BR,BR-BA,Santo Antonio de Jesus,
2a02:26f7:e500:5816::/64,BR,BR-BA,Serrinha,
2a02:26f7:e500:5817::/64,BR,BR-BA,Teixeira de Freitas,
2a02:26f7:e500:5818::/64,BR,BR-CE,Iguatu,
2a02:26f7:e500:5819::/64,BR,BR-CE,Itapipoca,
2a02:26f7:e500:581a::/64,BR,BR-CE,Juazeiro do Norte,
2a02:26f7:e500:581b::/64,BR,BR-CE,Limoeiro do Norte,
2a02:26f7:e500:581c::/64,BR,BR-CE,Macapa,
2a02:26f7:e500:581d::/64,BR,BR-CE,Pereiro,
2a02:26f7:e500:581e::/64,BR,BR-CE,Sobral,
2a02:26f7:e500:581f::/64,BR,BR-CE,Tiangua,
2a02:26f7:e500:5820::/64,BR,BR-DF,Planaltina,
2a02:26f7:e500:5821::/64,BR,BR-DF,Sobradinho,
2a02:26f7:e500:5822::/64,BR,BR-ES,Anchieta,
2a02:26f7:e500:5823::/64,BR,BR-ES,Aracruz,
2a02:26f7:e500:5824::/64,BR,BR-ES,Cachoeiro de Itapemirim,
2a02:26f7:e500:5825::/64,BR,BR-ES,Colatina,
2a02:26f7:e500:5826::/64,BR,BR-ES,Domingos Martins,
2a02:26f7:e500:5827::/64,BR,BR-ES,Guarapari,
2a02:26f7:e500:5828::/64,BR,BR-ES,Itapemirim,
2a02:26f7:e500:5829::/64,BR,BR-ES,Linhares,
2a02:26f7:e500:582a::/64,BR,BR-ES,Serra,
2a02:26f7:e500:582b::/64,BR,BR-ES,Vitoria,
2a02:26f7:e500:582c::/64,BR,BR-GO,Anapolis,
2a02:26f7:e500:582d::/64,BR,BR-GO,Aparecida,
2a02:26f7:e500:582e::/64,BR,BR-GO,Cristalina,
2a02:26f7:e500:582f::/64,BR,BR-GO,Doverlandia,
2a02:26f7:e500:5830::/64,BR,BR-GO,Goiania,
2a02:26f7:e500:5831::/64,BR,BR-GO,Itumbiara,
2a02:26f7:e500:5832::/64,BR,BR-GO,Leopoldo de Bulhoes,
2a02:26f7:e500:5833::/64,BR,BR-GO,Posse,
2a02:26f7:e500:5834::/64,BR,BR-GO,Rio Verde,
2a02:26f7:e500:5835::/64,BR,BR-GO,Silvania,
2a02:26f7:e500:5836::/64,BR,BR-MA,Balsas,
2a02:26f7:e500:5837::/64,BR,BR-MA,Imperatriz,
2a02:26f7:e500:5838::/64,BR,BR-MA,Sao Luis,
2a02:26f7:e500:5839::/64,BR,BR-MG,Alem Paraiba,
2a02:26f7:e500:583a::/64,BR,BR-MG,Alfenas,
2a02:26f7:e500:583b::/64,BR,BR-MG,Araguari,
2a02:26f7:e500:583c::/64,BR,BR-MG,Arcos,
2a02:26f7:e500:583d::/64,BR,BR-MG,Areado,
2a02:26f7:e500:583e::/64,BR,BR-MG,Bambui,
2a02:26f7:e500:583f::/64,BR,BR-MG,Barbacena,
2a02:26f7:e500:5840::/64,BR,BR-MG,Bom Despacho,
2a02:26f7:e500:5841::/64,BR,BR-MG,Botelhos,
2a02:26f7:e500:5842::/64,BR,BR-MG,Cabo Verde,
2a02:26f7:e500:5843::/64,BR,BR-MG,Camanducaia,
2a02:26f7:e500:5844::/64,BR,BR-MG,Canoas,
2a02:26f7:e500:5845::/64,BR,BR-MG,Caratinga,
2a02:26f7:e500:5846::/64,BR,BR-MG,Caxambu,
2a02:26f7:e500:5847::/64,BR,BR-MG,Conselheiro Lafaiete,
2a02:26f7:e500:5848::/64,BR,BR-MG,Contagem,
2a02:26f7:e500:5849::/64,BR,BR-MG,Divinopolis,
2a02:26f7:e500:584a::/64,BR,BR-MG,Extrema,
2a02:26f7:e500:584b::/64,BR,BR-MG,Gonzaga,
2a02:26f7:e500:584c::/64,BR,BR-MG,Governador Valadares,
2a02:26f7:e500:584d::/64,BR,BR-MG,Guaxupe,
2a02:26f7:e500:584e::/64,BR,BR-MG,Ipatinga,
2a02:26f7:e500:584f::/64,BR,BR-MG,Itabira,
2a02:26f7:e500:5850::/64,BR,BR-MG,Itajuba,
2a02:26f7:e500:5851::/64,BR,BR-MG,Itauna,
2a02:26f7:e500:5852::/64,BR,BR-MG,Ituiutaba,
2a02:26f7:e500:5853::/64,BR,BR-MG,Japaraiba,
2a02:26f7:e500:5854::/64,BR,BR-MG,Juiz de Fora,
2a02:26f7:e500:5855::/64,BR,BR-MG,Lagoa Santa,
2a02:26f7:e500:5856::/64,BR,BR-MG,Lavras,
2a02:26f7:e500:5857::/64,BR,BR-MG,Leopoldina,
2a02:26f7:e500:5858::/64,BR,BR-MG,Machado,
2a02:26f7:e500:5859::/64,BR,BR-MG,Mar de Espanha,
2a02:26f7:e500:585a::/64,BR,BR-MG,Monte Carmelo,
2a02:26f7:e500:585b::/64,BR,BR-MG,Montes Claros,
2a02:26f7:e500:585c::/64,BR,BR-MG,Muriae,
2a02:26f7:e500:585d::/64,BR,BR-MG,Ouro Branco,
2a02:26f7:e500:585e::/64,BR,BR-MG,Ouro Preto,
2a02:26f7:e500:585f::/64,BR,BR-MG,Para de Minas,
2a02:26f7:e500:5860::/64,BR,BR-MG,Passos,
2a02:26f7:e500:5861::/64,BR,BR-MG,Patos de Minas,
2a02:26f7:e500:5862::/64,BR,BR-MG,Patrocinio,
2a02:26f7:e500:5863::/64,BR,BR-MG,Pinhais,
2a02:26f7:e500:5864::/64,BR,BR-MG,Pirapora,
2a02:26f7:e500:5865::/64,BR,BR-MG,Pocos de Caldas,
2a02:26f7:e500:5866::/64,BR,BR-MG,Ponte Nova,
2a02:26f7:e500:5867::/64,BR,BR-MG,Pouso Alegre,
2a02:26f7:e500:5868::/64,BR,BR-MG,Rio Pomba,
2a02:26f7:e500:5869::/64,BR,BR-MG,Rodeiro,
2a02:26f7:e500:586a::/64,BR,BR-MG,Santos Dumont,
2a02:26f7:e500:586b::/64,BR,BR-MG,Sete Lagoas,
2a02:26f7:e500:586c::/64,BR,BR-MG,Timoteo,
2a02:26f7:e500:586d::/64,BR,BR-MG,Tres Pontas,
2a02:26f7:e500:586e::/64,BR,BR-MG,Uberaba,
2a02:26f7:e500:586f::/64,BR,BR-MG,Uberlandia,
2a02:26f7:e500:5870::/64,BR,BR-MG,Vicosa,
2a02:26f7:e500:5871::/64,BR,BR-PA,Abaetetuba,
2a02:26f7:e500:5872::/64,BR,BR-PA,Barcarena,
2a02:26f7:e500:5873::/64,BR,BR-PA,Belem,
2a02:26f7:e500:5874::/64,BR,BR-PA,Benevides,
2a02:26f7:e500:5875::/64,BR,BR-PA,Carajas,
2a02:26f7:e500:5876::/64,BR,BR-PA,Castanhal,
2a02:26f7:e500:5877::/64,BR,BR-PA,Maraba,
2a02:26f7:e500:5878::/64,BR,BR-PA,Paragominas,
2a02:26f7:e500:5879::/64,BR,BR-PA,Parauapebas,
2a02:26f7:e500:587a::/64,BR,BR-PA,Tucuma,
2a02:26f7:e500:587b::/64,BR,BR-PB,Cajazeiras,
2a02:26f7:e500:587c::/64,BR,BR-PB,Campina Grande,
2a02:26f7:e500:587d::/64,BR,BR-PB,Joao Pessoa,
2a02:26f7:e500:587e::/64,BR,BR-PE,Bezerros,
2a02:26f7:e500:587f::/64,BR,BR-PE,Caruaru,
2a02:26f7:e500:5880::/64,BR,BR-PE,Petrolina,
2a02:26f7:e500:5881::/64,BR,BR-PI,Centro,
2a02:26f7:e500:5882::/64,BR,BR-PI,Parnaiba,
2a02:26f7:e500:5883::/64,BR,BR-PI,Teresina,
2a02:26f7:e500:5884::/64,BR,BR-PR,Ampere,
2a02:26f7:e500:5885::/64,BR,BR-PR,Apucarana,
2a02:26f7:e500:5886::/64,BR,BR-PR,Arapongas,
2a02:26f7:e500:5887::/64,BR,BR-PR,Araucaria,
2a02:26f7:e500:5888::/64,BR,BR-PR,Bituruna,
2a02:26f7:e500:5889::/64,BR,BR-PR,Campina Grande,
2a02:26f7:e500:588a::/64,BR,BR-PR,Cascavel,
2a02:26f7:e500:588b::/64,BR,BR-PR,Castro,
2a02:26f7:e500:588c::/64,BR,BR-PR,Ceu Azul,
2a02:26f7:e500:588d::/64,BR,BR-PR,Cianorte,
2a02:26f7:e500:588e::/64,BR,BR-PR,Clevelandia,
2a02:26f7:e500:588f::/64,BR,BR-PR,Colombo,
2a02:26f7:e500:5890::/64,BR,BR-PR,Coronel Vivida,
2a02:26f7:e500:5891::/64,BR,BR-PR,Criciuma,
2a02:26f7:e500:5892::/64,BR,BR-PR,Cruzeiro do Oeste,
